,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,RS1,SALL1,ENSGALG00000048418.1,GRIN3A,ANO1,ENSGALG00000033089.2,ENSGALG00000008940.8,TTC8,ENSGALG00000007028.6,ENSGALG00000038021.3,SPDL1,ATP5I,KHDRBS2,PIF1
1,ENSGALG00000050061.1,ENSGALG00000031869.3,ONECUT1,FGL1,ENSGALG00000047015.1,FRMD3,ENSGALG00000047629.1,MAGI3,PLXNC1,GRIN3A,OTX2,ENSGALG00000048418.1,MYH9,ENSGALG00000054209.1
2,ENSGALG00000047629.1,ENSGALG00000047342.1,DPH1,NKAIN2,PRMT8,ENSGALG00000047015.1,FARP1,THRB,GFRA1,FGL1,NDFIP1,DDRGK1,PDGFD,ENSGALG00000050230.1
3,CDH18,KIT,BCL2L1,ENSGALG00000038021.3,NRP1,DPP6,NEK6,MSMO1,EPS8,ENSGALG00000010316.6,CENPF,THRB,DPP6,PDGFD
4,DCLK1,GRIA2,NDUFA10,ENSGALG00000054209.1,RUSC2,SEMA3C,MTSS1,PIF1,GAD1,ENSGALG00000016301.5,ENSGALG00000050230.1,OTX2,ENSGALG00000033569.3,RALGAPA1
5,ENSGALG00000002395.6,EGFLAM,ETFA,ENSGALG00000010316.6,ENSGALG00000054100.1,NRG1,ADTRP,CACNA1G,CDYL2,ENSGALG00000055108.1,CCNE1,ENSGALG00000052769.1,TRAF3IP1,FGL1
6,SH3GL2,MARCH1,ENSGALG00000041622.2,YWHAG,ENSGALG00000050025.1,PLEKHD1,HMP19,SFXN1,FGFR3,AOX1,TTK,ANKRD11,NKAIN2,E2F3
7,NTNG2,INPP5B,LTBP2,LAMA5,TSHZ1,RIMBP2,CNN3,ACVR2A,NGF,NASP,SFXN1,MYT1,ENSGALG00000048280.1,TOX3
8,DLG1,RBP3,PRDM1,NCAM1,CDYL2,ENSGALG00000007028.6,CETN2,TMEM108,NRG1,ENSGALG00000054209.1,CNTLN,ENSGALG00000003605.6,NRG1,NKAIN2
9,CYRIB,IGSF11,TWF1,CG-16,GRIN2B,GABRG2,CYRIB,ENSGALG00000021092.6,LIMD2,VGLL4,TTC8,ENSGALG00000048883.1,PRMT8,RPL4
10,CNTN3,LPCAT2,PGM2L1,VGLL4,DPP6,KHDRBS2,RBM38,ENSGALG00000010335.6,PLCL2,GRB10,ENSGALG00000053225.1,HTRA1,SYT1,NCAM1
11,TRPM3,ENSGALG00000043556.2,SEPT7,ELMO1,KHDRBS2,ENSGALG00000031929.2,HMX1,MAP4K4,RUSC2,LAMA5,ENSGALG00000021092.6,DCTN1,MAGI3,ENSGALG00000055086.1
12,MTSS1,ENSGALG00000054096.1,ATP2A2,ARHGEF12,GABRA6,ENSGALG00000050025.1,ENSGALG00000054738.1,FANCB,PRMT8,STOX2,BORA,TMEM198,ABLIM2,ENSGALG00000053225.1
13,ENSGALG00000051221.1,KCNK3,DPYSL3,ENSGALG00000016301.5,TCF7,PPP2R2C,RANBP1,ADAMTS3,ENSGALG00000011528.7,SOX13,DOCK1,MAP4K4,TMEM171,OTX2
14,RUNX2,TMEM108,TMEM196,SERINC1,ENSGALG00000004394.6,ENSGALG00000053344.1,ROCK1,MSANTD4,SYT1,PKDCC,BUB1,ENSGALG00000006394.5,DDRGK1,ENSGALG00000038189.2
15,MTHFR,ENSGALG00000053275.1,ENSGALG00000048936.1,SOX13,ZEB2,GFRA1,PDIA3,ENSGALG00000050230.1,PROX1,YWHAG,MSMO1,SETD7,ENSGALG00000006723.7,MSANTD4
16,ARPP19,RUNX2,TLE5,PKDCC,ENSGALG00000047287.1,SLC6A1,CENPJ,ENSGALG00000012770.6,MSRA,ENSGALG00000052770.1,ASPM,FOXM1,GRIN2B,BORA
17,CLTA,ENSGALG00000053721.1,SDC3,NASP,EPS8,ANO1,SMARCC1,NCOA1,ONECUT2,PLCL2,ENSGALG00000034232.2,CCNI,MYO18B,GREB1
18,ANKRD33B,RASSF8,ZNF609,GRB10,NGF,FHOD3,TTL,CAPN10,GRIN2B,MFAP3L,YWHAG,CXXC5,ENSGALG00000011528.7,TK2
19,ENSGALG00000035217.2,LRP2,CADM1,TK2,PACSIN2,RAB11A,ENSGALG00000037124.3,SV2B,ENSGALG00000031929.2,BORA,NEDD8,SMAD6,TRAK1,YPEL5
20,ENSGALG00000054096.1,RASGRF2,ENSGALG00000010433.7,ENSGALG00000049007.1,SORCS1,GRIN2B,ACYP2,PCDHGC3,RET,CNTLN,HSD17B12,UST,ATP5S,EZR
21,ENSGALG00000054474.1,PPP2R2B,FAM49A,LHFPL6,ENSGALG00000052519.1,RET,MTFP1,RASSF2,RANBP3L,ENSGALG00000050230.1,BUB1B,CDC42BPB,ALDH1A1,MAPKAPK2
22,RBM38,NTNG2,ODC1,HMX1,TRIM2,ENSGALG00000047287.1,CNTN3,KIT,SNTB1,ENSGALG00000033569.3,MEIS2,SRGAP3,CG-16,DPH1
23,SMARCC1,SH3GL2,UST,TCF7L2,HIVEP3,ENSGALG00000033647.2,KCNK3,CDC42BPB,CEP57L1,ARHGEF12,YPEL5,CCND1,ENSGALG00000046747.1,SIX6
24,ENSGALG00000046534.2,PIK3R1,UBE2T,CPNE4,SEMA6D,RASA3,ENSGALG00000046534.2,MB21D2,ENSGALG00000050133.1,ENSGALG00000014258.6,SRSF10,NTM,CRNKL1,DOCK1
25,MTFP1,RREB1,NCOA1,STOX2,ENSGALG00000050133.1,CNN3,ARPP19,NTM,SFXN1,ANKRD11,FAM76B,PRDM1,ENSGALG00000028573.3,ENSGALG00000021092.6
26,NEURL1,DDX3X,GPRC5B,TOX3,ALDH1A1,GAD1,ENSGALG00000035217.2,CCNI,MYT1L,ELMO1,THRB,SIPA1L1,ABHD14B,ENSGALG00000010718.6
27,CETN2,EML5,ENSGALG00000046914.1,CERS6,CAP2,MSRA,PIP4K2A,U2SURP,ENSGALG00000050230.1,PDGFD,CXXC5,DZIP1,ST7,FAM76B
28,IGSF11,GREB1L,CSNK1G1,PRPSAP2,BTBD3,CERS6,RUNX2,FBXO32,PPP2R2C,TOX3,ENSGALG00000032373.2,GPM6B,GREB1,ENSGALG00000010316.6
29,DAAM2,GRIK1,NDRG3,ENSGALG00000035769.2,STMN2,ADSS,ENSGALG00000008910.6,PRDM1,NRXN1,E2F3,TEKT1,PPP2R5A,NDUFB4,KIF20A
30,VGLL3,ANKRD33B,DDX5,GSE1,PLXNB3,QKI,SLC37A1,PAK3,SCUBE1,SREBF2,REEP6,RCBTB1,GABRG2,NASP
31,SEMA5B,PLCH2,LBR,NECAB3,QKI,TENM1,SSBP4,ENSGALG00000040546.2,ENSGALG00000033089.2,KIF23,MXI1,TMOD2,PLEKHD1,SH3D19
32,PPP2R2B,EML4,CHCHD3,UBE2H,ALAS1,PLXNC1,SLC16A7,BORA,SLC4A5,SNRPGP15,GABRA6,CENPH,TENM3,ENSGALG00000007007.7
33,MRPS6,COCH,DGAT2,CLMP,TENM1,NUP43,MPP4,EIF5A2,ENSGALG00000034584.3,DAAM1,G2E3,SOS2,CCNE1,DNAJB4
