,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
PANX2,PANX2,PANX2,PANX2,0.0269,-0.03858661651611328,,,,,,,,,,,,,,,,False,0.5092487642164818,0
ENSGALG00000000071.5,ENSGALG00000000071.5,ENSGALG00000000071.5,ENSGALG00000000071.5,-0.0011,-0.13617348670959473,,,,,,,,,,,,,,,,False,0.1134413708061111,0
INTS4,INTS4,INTS4,INTS4,0.0045,-0.49271225929260254,,,,,,,,,,,,,,,,False,0.1541058202308943,0
AHCYL2,AHCYL2,AHCYL2,AHCYL2,0.0913,0.5067992806434631,0.1097108072482903,0.2507372564756174,0.30910099402800045,10.731544711216602,2.1586157816648486,0.1149263083934784,0.09223958849906921,0.1948058148110379,0.0,0.0,0.4510758575804913,0.3979698048457156,0.3254746259832434,0.9584057571393629,2.6064886702413945,True,0.2999103231285284,0
PAK1,PAK1,PAK1,PAK1,0.1054,0.46969980001449585,0.13309701667108711,0.3362815208945173,0.24639863687319483,8.382981817418905,1.8319330215454102,0.12133555114269257,0.09935043007135391,0.2299404835486753,0.0,0.0,0.45724641827461465,0.32766042323463707,0.29944798494046876,0.967721085141561,2.4348861817609704,True,0.4516569759906325,0
GDPD4,GDPD4,GDPD4,GDPD4,0.0252,0.32229679822921753,0.07494875281004816,0.23276969566968417,0.2890213221085948,8.768830257718182,2.8945065106451504,0.11355864256620407,0.059290070086717606,0.2257088590567185,0.0,0.0,0.22509681955847882,0.2702646650278713,0.1815585165509376,0.867460548166178,2.3580586026739017,True,0.4310984094644906,0
TSKU,TSKU,TSKU,TSKU,0.0202,0.11043822765350342,0.024303589246606288,0.2587675141199329,0.18378356873179372,7.058526067476566,2.022676113247871,0.036226432770490646,0.02193993330001831,0.16096067418955037,0.0,0.0,0.008085775509198827,0.10459088296753803,0.06506351571819136,0.8881541248629506,2.2290031908818,True,0.38217108594158333,0
THAP12,THAP12,THAP12,THAP12,-0.0041,-0.11150181293487549,,,,,,,,,,,,,,,,False,0.057247910478365076,0
RNF121,RNF121,RNF121,RNF121,-0.037,-0.16767990589141846,,,,,,,,,,,,,,,,False,0.0693459487869399,0
APP,APP,APP,APP,-0.0512,0.2963433861732483,1.3635719823795192,0.4022000198566933,0.32654214121386815,12.414177215440358,0.46330974251031876,0.7855253219604492,0.8604483604431152,0.25480782456827655,0.0,0.0,0.45394814235552283,2.673238768232311,3.0743071966130158,0.8077765950352511,2.5937805371973632,True,0.6722089362664792,23
HIKESHI,HIKESHI,HIKESHI,HIKESHI,0.0285,-0.15000557899475098,,,,,,,,,,,,,,,,False,0.0,0
DHTKD1,DHTKD1,DHTKD1,DHTKD1,-0.0151,-0.2197108268737793,,,,,,,,,,,,,,,,False,0.1911136122393511,0
GTSE1,GTSE1,GTSE1,GTSE1,0.2718,0.6874878406524658,3.3182087158326783,11.189265660529998,0.7306942957652739,2.8635138676272756,0.036332487836480146,0.054769985377788544,0.7650389671325684,0.196386895742001,0.0,0.0,0.4914714396379335,0.19072105743543033,1.7794757891317894,1.00449024310406,1.1889128622752263,True,0.5355866485604233,0
MAP4K4,MAP4K4,MAP4K4,MAP4K4,-0.1602,0.4934689402580261,0.6152476264115079,0.14234788595251074,0.1569139983635769,19.701772657498235,1.8896146953105926,1.3285739421844482,0.9491748809814453,0.42588115019417927,0.0,0.0,0.4687112866407581,3.881743931724155,2.232233471108665,0.31196379377727085,5.01891093776357,True,0.8878493314445112,21
RBM17,RBM17,RBM17,RBM17,0.0432,-0.1066749095916748,,,,,,,,,,,,,,,,False,0.09806195407372575,0
MKLN1,MKLN1,MKLN1,MKLN1,-0.0209,-1.063255786895752,,,,,,,,,,,,,,,,False,0.1711305555002195,0
PLXNA4,PLXNA4,PLXNA4,PLXNA4,-0.0381,0.4698818325996399,0.061969966984723894,0.03573447869700178,0.2389364437528369,9.385113841838564,11.563154139518737,0.5546767711639404,0.05680368095636368,0.15650974469620893,0.0,0.0,0.3660703394437354,1.754555354892419,0.18423078949402633,1.4508048336590242,2.722529983278259,False,0.6527649104064261,0
SEMA3A,SEMA3A,SEMA3A,SEMA3A,-0.094,0.6725519895553589,0.5050509264406092,0.12372394832977776,0.504979700316164,6.138672974630306,2.714693641662598,1.3502955436706543,0.23129218816757202,0.25936705433596235,0.0,0.0,0.43225720713963844,4.398677066141508,0.616667544352822,0.7852498587640387,1.3205341223623979,True,0.8715435624033833,26
SEMA3D,SEMA3D,SEMA3D,SEMA3D,0.001,-0.17208528518676758,,,,,,,,,,,,,,,,False,0.3408808857808779,0
TMEM243,TMEM243,TMEM243,TMEM243,0.029,-0.1070101261138916,,,,,,,,,,,,,,,,False,0.23375831636192998,0
BEND7,BEND7,BEND7,BEND7,0.0343,-0.24642765522003174,,,,,,,,,,,,,,,,False,0.2343266216804498,0
TAF3,TAF3,TAF3,TAF3,0.0271,-0.3834342956542969,,,,,,,,,,,,,,,,False,0.14891417899735573,0
CPNE8,CPNE8,CPNE8,CPNE8,0.0484,0.1991642713546753,0.03063162239700467,0.07779841607252516,0.14374527789725336,7.850602512349279,5.1654186129570006,0.1152377724647522,0.03234873712062836,6.695255437057534e-06,0.0,0.0,0.4510515797030779,0.32378529409104384,0.13403822848541214,1.6557506506345776,3.788619786262678,False,0.4928273186774741,0
DUSP12,DUSP12,DUSP12,DUSP12,0.0263,-0.08234262466430664,,,,,,,,,,,,,,,,False,0.0277002772019993,0
KIF21A,KIF21A,KIF21A,KIF21A,0.0568,0.5068757832050323,0.6911495457199551,0.7142568029150478,0.3607713612565386,11.005187808622352,0.291761571764946,0.25910332798957825,0.419610857963562,0.2674358503879458,0.0,0.0,0.46680776798549584,0.8944276025587,1.7204682733221301,0.7657733495519425,2.1998732565073147,True,0.7508836046032888,0
LRRK2,LRRK2,LRRK2,LRRK2,0.0381,0.31864482164382935,0.06794221377111904,0.3664580258872068,0.2897597267742287,9.534216818301115,1.3049755454063416,0.055967748165130615,0.057791534811258316,0.18472769598443298,0.0,0.0,0.35506718031239237,0.15440853809331562,0.18158663765141933,1.0468908285250378,2.6835696019696744,True,0.4372871894153954,0
