,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
PANX2,PANX2,PANX2,PANX2,0.0592,0.08085310459136963,0.05237151547720793,0.13704762726314162,0.21587145036190222,15.509655369828069,2.8598365330696107,0.1315857172012329,0.053143423050642014,0.22398292621820934,0.0,0.0,0.0702466109716044,0.40888102334425824,0.16704343969066596,1.0675585159624636,2.8065963397813984,True,0.5424954359887211,0
ENSGALG00000000071.5,ENSGALG00000000071.5,ENSGALG00000000071.5,ENSGALG00000000071.5,0.0306,-0.09293973445892334,,,,,,,,,,,,,,,,False,0.20296071192654588,0
INTS4,INTS4,INTS4,INTS4,-0.0252,-0.5143731832504272,,,,,,,,,,,,,,,,False,0.25476427566474474,0
AHCYL2,AHCYL2,AHCYL2,AHCYL2,0.1068,0.7028233110904694,0.376666555298286,0.41908531567369456,0.546976369977752,9.022052947727744,0.72455157995224,0.2611469626426697,0.17030110955238342,0.32627096212083684,0.0,0.0,0.43797665042551226,0.7034291986819621,0.4946380521588284,0.4946187905271764,1.481974606489185,True,0.5562418798030074,29
PAK1,PAK1,PAK1,PAK1,0.1393,0.41353726387023926,0.26932161108889396,0.43259294898063905,0.2229683326972113,6.931327544941805,1.3096658645515091,0.21447080373764038,0.20400242507457733,0.21568453339176635,0.0,0.0,0.45292454294457496,0.618146262972967,0.6448599908757826,1.0958176399466244,2.198810100828185,True,0.6910072846231982,0
GDPD4,GDPD4,GDPD4,GDPD4,0.0982,0.5215864777565002,0.11666677362009316,0.2373813788434769,0.29211881336802664,8.774341813592923,2.003190107345581,0.16082704067230225,0.08710972219705582,0.2885392107703019,0.0,0.0,0.36974557857955004,0.4279396292891538,0.23246770540798276,0.6117375234789559,2.1730595319801567,True,0.5623255881680781,29
TSKU,TSKU,TSKU,TSKU,0.0093,0.22671324014663696,0.035956865028459385,0.24470817211933077,0.2277750054053231,7.9138758376785505,2.191344830989838,0.054475050419569016,0.03523789718747139,0.18943602896258238,0.0,0.0,0.049799758559581124,0.15330033604164775,0.10687418715578728,1.182249713251763,2.5175295204057475,True,0.5213242415931412,0
THAP12,THAP12,THAP12,THAP12,0.0172,-0.06140875816345215,,,,,,,,,,,,,,,,False,0.20738321974230398,0
WNT11,WNT11,WNT11,WNT11,-0.0376,0.00872868299484253,,,,,,,,,,,,,,,,False,0.41213495693058444,0
RNF121,RNF121,RNF121,RNF121,0.0126,-0.16804397106170654,,,,,,,,,,,,,,,,False,0.07195606780094922,0
APP,APP,APP,APP,0.0431,0.0762903094291687,1.342979613282146,0.26315951909814417,0.17286013499276384,17.627043108224605,1.3186738163232803,1.2636098861694336,1.4852765798568726,0.26727551007130046,0.0,0.0,0.48473835731089193,3.8561691282628647,6.368287642133133,0.6365162284322355,4.63407796891677,True,0.7510525881250679,0
HIKESHI,HIKESHI,HIKESHI,HIKESHI,0.0481,-0.0285642147064209,,,,,,,,,,,,,,,,False,0.1698653712821829,0
DHTKD1,DHTKD1,DHTKD1,DHTKD1,0.0018,-0.3298681974411011,,,,,,,,,,,,,,,,False,0.05850027194325224,0
GTSE1,GTSE1,GTSE1,GTSE1,0.2139,0.6178602874279022,2.0642609420322846,5.605155793382391,0.44352748863503644,3.929938431804039,0.11397237606346608,0.07578115165233612,1.0821378231048584,0.2708343225811764,0.0,0.0,0.4918733752155505,0.25481684133491733,2.3400584076820263,0.5090327477722704,2.183669544321592,True,0.6342745828379611,0
MAP4K4,MAP4K4,MAP4K4,MAP4K4,-0.1903,0.7416474521160126,1.766219336518222,0.2265510981432164,0.3395482933411516,11.395179308849222,0.8367661955952644,2.156853437423706,1.2179187536239624,0.4787765532475903,0.0,0.0,0.4797476620177825,6.503029646693621,2.8918522597001544,0.2447375600779379,2.3737895588612186,True,0.9211809933607439,14
RBM17,RBM17,RBM17,RBM17,0.0442,-0.10911214351654053,,,,,,,,,,,,,,,,False,0.14879836075342295,0
MKLN1,MKLN1,MKLN1,MKLN1,0.0035,-0.9645978212356567,,,,,,,,,,,,,,,,False,0.0843866060429023,0
PLXNA4,PLXNA4,PLXNA4,PLXNA4,-0.0545,0.6208766400814056,0.04950907539517166,0.014637126497537773,0.10977313705470675,21.15655351115009,17.01556078592936,1.3507603406906128,0.09261446446180344,0.202410077091742,0.0,0.0,0.35820277381995635,3.5963459730543477,0.27938390059139706,1.0978431068805998,5.041477823518483,False,0.6995144278312442,0
SEMA3A,SEMA3A,SEMA3A,SEMA3A,-0.0634,0.7672713398933411,0.521340423746825,0.10349526351308404,0.5409201737618838,7.1084171243606376,2.885411660671234,1.2701475620269775,0.20469129085540771,0.1092113538778194,0.0,0.0,0.4833801337508233,5.202614222499237,0.8152005049592719,2.5365009323078103,1.5031321397801927,True,0.84816272038219,0
SEMA3D,SEMA3D,SEMA3D,SEMA3D,0.0414,-0.4471064805984497,,,,,,,,,,,,,,,,False,0.24461934435405305,0
GRM3,GRM3,GRM3,GRM3,0.043,-0.1733342409133911,,,,,,,,,,,,,,,,False,0.2551183362467295,0
TMEM243,TMEM243,TMEM243,TMEM243,0.0476,-0.13994896411895752,,,,,,,,,,,,,,,,False,0.24442508770988494,0
